Stadtquartier,QuarCD,BFSCode,PLZ,PLZ2,Kreis,Latitude,Longitude
Rathaus,,261011,8001,,1,47.37638889,8.548055556
Hochschulen,,261012,8001,,1,47.37638889,8.548055556
Lindenhof,,261013,8001,,1,47.364645,8.566284
City,,261014,8001,,1,47.364645,8.566284
Wollishofen,,261021,8038,,2,47.343944,8.530114425
Leimbach,,261023,8041,,2,47.328632,8.512999476
Enge,,261024,8002,,2,47.364078,8.531718409
Alt-Wiedikon,,261031,8003,,3,47.368441,8.517243424
Friesenberg,,261033,8045,8055,3,47.362441,8.504677475
Sihlfeld,,261034,8003,,3,47.372576,8.517592415
Werd,,261041,8004,,4,47.371225,8.52814841
Langstrasse,,261042,8004,,4,47.376269,8.52667141
Hard,,261044,8004,,4,47.379607,8.51601241
Gewerbeschule,,261051,8005,,5,47.384676,8.531743405
Escher Wyss,,261052,8005,,5,47.38967,8.517275403
Unterstrass,,261061,8006,5057,6,47.391446,8.53877457
Oberstrass,,261062,8006,,6,47.384337,8.548424487
Fluntern,,261071,8044,,7,47.376313,8.559645
Hottingen,,261072,8032,,7,47.36812,8.5604444
Hirslanden,,261073,8032,,7,47.364645,8.566284466
Witikon,,261074,8053,,7,47.358651,8.590251604
Seefeld,,261081,8008,,8,47.362748,8.548504412
Mühlebach,,261082,8008,,8,47.361522,8.554969417
Weinegg,,261083,8008,,8,47.35798995,8.564933652
Albisrieden,,261091,8047,,9,47.375391,8.485338429
Altstetten,,261092,8048,,9,47.38753,8.485842402
Höngg,,261101,8049,,10,47.401979,8.499374457
Wipkingen,,261102,8037,,10,47.39267,8.523429431
Affoltern,,261111,8046,,11,47.419094,8.50647446
Oerlikon,,261115,8050,8057,11,47.410281,8.544459443
Seebach,,261119,8052,,11,47.419424,8.54782942
Saatlen,,261121,8050,,12,47.410191,8.564081431
Schwamendingen Mitte,,261122,8051,,12,47.4042,8.58198434
Hirzenbach,,261123,8051,,12,47.404628,8.587309428
